month,count
2019-01,11541
2019-02,11333
2019-03,13090
2019-04,12939
2019-05,13783
2019-06,12736
2019-07,13224
2019-08,11983
2019-09,13791
2019-10,14647
2019-11,13538
2019-12,13312
2020-01,11949
2020-02,13234
2020-03,14167
2020-04,15077
2020-05,15168
2020-06,16455
2020-07,16251
2020-08,13776
2020-09,14805
2020-10,16709
2020-11,14968
2020-12,15716
2021-01,13185
2021-02,13820
2021-03,16794
2021-04,15079
2021-05,15210
2021-06,16226
2021-07,15022
2021-08,13760
2021-09,15310
2021-10,16462
2021-11,15238
2021-12,15493
2022-01,13537
2022-02,14028
2022-03,17211
2022-04,14524
2022-05,15860
2022-06,15482
2022-07,15273
2022-08,14590
2022-09,15602
2022-10,17654
2022-11,17181
2022-12,15042
2023-01,13707
2023-02,14853
2023-03,18324
2023-04,15366
2023-05,19783
2023-06,17697
2023-07,17046
2023-08,16810
2023-09,17574
2023-10,3153
