month,categories,count
2019-01,cs.AI,299
2019-01,cs.CL,203
2019-01,cs.CR,213
2019-01,cs.CV,677
2019-01,cs.CY,115
2019-01,cs.HC,62
2019-01,cs.IR,76
2019-01,cs.LG,1111
2019-01,cs.RO,132
2019-01,cs.SD,43
2019-01,cs.SE,91
2019-02,cs.AI,294
2019-02,cs.CL,237
2019-02,cs.CR,231
2019-02,cs.CV,635
2019-02,cs.CY,97
2019-02,cs.HC,74
2019-02,cs.IR,75
2019-02,cs.LG,1227
2019-02,cs.RO,175
2019-02,cs.SD,62
2019-02,cs.SE,79
2019-03,cs.AI,350
2019-03,cs.CL,263
2019-03,cs.CR,220
2019-03,cs.CV,859
2019-03,cs.CY,115
2019-03,cs.HC,97
2019-03,cs.IR,83
2019-03,cs.LG,1102
2019-03,cs.RO,287
2019-03,cs.SD,68
2019-03,cs.SE,97
2019-04,cs.AI,399
2019-04,cs.CL,477
2019-04,cs.CR,237
2019-04,cs.CV,1253
2019-04,cs.CY,113
2019-04,cs.HC,119
2019-04,cs.IR,162
2019-04,cs.LG,1345
2019-04,cs.RO,228
2019-04,cs.SD,165
2019-04,cs.SE,103
2019-05,cs.AI,563
2019-05,cs.CL,409
2019-05,cs.CR,316
2019-05,cs.CV,1015
2019-05,cs.CY,108
2019-05,cs.HC,126
2019-05,cs.IR,163
2019-05,cs.LG,2026
2019-05,cs.RO,242
2019-05,cs.SD,92
2019-05,cs.SE,122
2019-06,cs.AI,463
2019-06,cs.CL,621
2019-06,cs.CR,285
2019-06,cs.CV,926
2019-06,cs.CY,119
2019-06,cs.HC,125
2019-06,cs.IR,145
2019-06,cs.LG,1894
2019-06,cs.RO,224
2019-06,cs.SD,136
2019-06,cs.SE,106
2019-07,cs.AI,363
2019-07,cs.CL,389
2019-07,cs.CR,251
2019-07,cs.CV,972
2019-07,cs.CY,128
2019-07,cs.HC,182
2019-07,cs.IR,177
2019-07,cs.LG,1543
2019-07,cs.RO,225
2019-07,cs.SD,120
2019-07,cs.SE,118
2019-08,cs.AI,302
2019-08,cs.CL,524
2019-08,cs.CR,240
2019-08,cs.CV,1020
2019-08,cs.CY,140
2019-08,cs.HC,153
2019-08,cs.IR,165
2019-08,cs.LG,1314
2019-08,cs.RO,168
2019-08,cs.SD,81
2019-08,cs.SE,89
2019-09,cs.AI,567
2019-09,cs.CL,699
2019-09,cs.CR,251
2019-09,cs.CV,1062
2019-09,cs.CY,107
2019-09,cs.HC,148
2019-09,cs.IR,156
2019-09,cs.LG,1771
2019-09,cs.RO,412
2019-09,cs.SD,93
2019-09,cs.SE,105
2019-10,cs.AI,388
2019-10,cs.CL,578
2019-10,cs.CR,262
2019-10,cs.CV,1046
2019-10,cs.CY,142
2019-10,cs.HC,118
2019-10,cs.IR,131
2019-10,cs.LG,2231
2019-10,cs.RO,328
2019-10,cs.SD,170
2019-10,cs.SE,99
2019-11,cs.AI,435
2019-11,cs.CL,631
2019-11,cs.CR,284
2019-11,cs.CV,1065
2019-11,cs.CY,145
2019-11,cs.HC,120
2019-11,cs.IR,161
2019-11,cs.LG,2049
2019-11,cs.RO,223
2019-11,cs.SD,129
2019-11,cs.SE,85
2019-12,cs.AI,327
2019-12,cs.CL,361
2019-12,cs.CR,225
2019-12,cs.CV,1071
2019-12,cs.CY,92
2019-12,cs.HC,89
2019-12,cs.IR,137
2019-12,cs.LG,1673
2019-12,cs.RO,215
2019-12,cs.SD,93
2019-12,cs.SE,92
2020-01,cs.AI,352
2020-01,cs.CL,293
2020-01,cs.CR,242
2020-01,cs.CV,781
2020-01,cs.CY,144
2020-01,cs.HC,153
2020-01,cs.IR,141
2020-01,cs.LG,1407
2020-01,cs.RO,207
2020-01,cs.SD,94
2020-01,cs.SE,93
2020-02,cs.AI,446
2020-02,cs.CL,362
2020-02,cs.CR,300
2020-02,cs.CV,954
2020-02,cs.CY,119
2020-02,cs.HC,147
2020-02,cs.IR,111
2020-02,cs.LG,2246
2020-02,cs.RO,273
2020-02,cs.SD,140
2020-02,cs.SE,95
2020-03,cs.AI,402
2020-03,cs.CL,358
2020-03,cs.CR,286
2020-03,cs.CV,1400
2020-03,cs.CY,135
2020-03,cs.HC,140
2020-03,cs.IR,108
2020-03,cs.LG,1828
